Insight Version,1.0.5.2,,,,,,
Generation Time,12/7/2022 18:23,,,,,,
Date From,12/7/2022 10:28,,,,,,
Date To,12/7/2022 18:23,,,,,,
,,,,,,,
GMP251,U3730359,1.3.4,,,,,
,,,,,,,
GMP251,U3930116,1.3.4,,,,,
,,,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,,,
12/7/2022 10:59,13.229156,7.928035,,,,,
12/7/2022 10:59,13.224353,7.922516,,,,,
12/7/2022 11:00,13.218328,7.918758,,,,,
12/7/2022 11:00,13.209519,7.914248,,,,,
12/7/2022 11:00,13.203445,7.914657,,,,,
12/7/2022 11:00,13.20249,7.915013,,,,,
12/7/2022 11:00,13.20266,7.914978,,,,,
12/7/2022 11:00,13.202166,7.911666,,,,,
12/7/2022 11:00,13.192175,7.908441,,,,,
12/7/2022 11:00,13.186206,7.903789,,,,,
12/7/2022 11:00,13.179456,7.898205,,,,,
12/7/2022 11:00,13.175772,7.887537,,,,,
12/7/2022 11:00,13.163136,7.877704,,,,,
12/7/2022 11:00,13.14705,7.876895,,,,,
12/7/2022 11:01,13.136861,7.856445,,,,,
12/7/2022 11:01,13.133153,7.835845,,,,,
12/7/2022 11:01,13.127962,7.824879,,,,,
12/7/2022 11:01,13.122111,7.825007,,,,,
12/7/2022 11:01,13.114145,7.825443,,,,,
12/7/2022 11:01,13.10712,7.825339,,,,,
12/7/2022 11:01,13.101938,7.81439,,,,,
12/7/2022 11:01,13.100491,7.811483,,,,,
12/7/2022 11:01,13.095057,7.810542,,,,,
12/7/2022 11:01,13.074928,7.801153,,,,,
12/7/2022 11:01,13.056756,7.794658,,,,,
12/7/2022 11:01,13.040204,7.792926,,,,,
12/7/2022 11:02,13.031902,7.790947,,,,,
12/7/2022 11:02,13.018624,7.786276,,,,,
12/7/2022 11:02,13.013373,7.781652,,,,,
12/7/2022 11:02,13.009056,7.776477,,,,,
12/7/2022 11:02,13.006413,7.773038,,,,,
12/7/2022 11:02,13.003736,7.765928,,,,,
12/7/2022 11:02,13.003765,7.763278,,,,,
12/7/2022 11:02,13.004149,7.754556,,,,,
12/7/2022 11:02,12.99398,7.742676,,,,,
12/7/2022 11:02,12.982092,7.728626,,,,,
12/7/2022 11:02,12.966142,7.720828,,,,,
12/7/2022 11:02,12.962459,7.715889,,,,,
12/7/2022 11:03,12.943291,7.714823,,,,,
12/7/2022 11:03,12.934031,7.714884,,,,,
12/7/2022 11:03,12.935473,7.715567,,,,,
12/7/2022 11:03,12.935595,7.715525,,,,,
12/7/2022 11:03,12.933706,7.709275,,,,,
12/7/2022 11:03,12.929752,7.70651,,,,,
12/7/2022 11:03,12.928022,7.700238,,,,,
12/7/2022 11:03,12.927961,7.693685,,,,,
12/7/2022 11:03,12.937703,7.676921,,,,,
12/7/2022 11:03,12.947406,7.66795,,,,,
12/7/2022 11:03,12.951889,7.666884,,,,,
12/7/2022 11:03,12.959079,7.666787,,,,,
12/7/2022 11:04,12.953332,7.666795,,,,,
12/7/2022 11:04,12.937401,7.665716,,,,,
12/7/2022 11:04,12.935005,7.662921,,,,,
12/7/2022 11:04,12.930532,7.650942,,,,,
12/7/2022 11:04,12.925922,7.646483,,,,,
12/7/2022 11:04,12.923167,7.642116,,,,,
12/7/2022 11:04,12.923573,7.638902,,,,,
12/7/2022 11:04,12.921149,7.636927,,,,,
12/7/2022 11:04,12.910152,7.635872,,,,,
12/7/2022 11:04,12.892773,7.633993,,,,,
12/7/2022 11:04,12.885946,7.633706,,,,,
12/7/2022 11:04,12.879152,7.633027,,,,,
12/7/2022 11:05,12.878909,7.631898,,,,,
12/7/2022 11:05,12.878377,7.620229,,,,,
12/7/2022 11:05,12.878512,7.605373,,,,,
12/7/2022 11:05,12.877599,7.597708,,,,,
12/7/2022 11:05,12.868918,7.584611,,,,,
12/7/2022 11:05,12.863373,7.578266,,,,,
12/7/2022 11:05,12.858446,7.570159,,,,,
12/7/2022 11:05,12.858876,7.565985,,,,,
12/7/2022 11:05,12.859663,7.557963,,,,,
