Group 2,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Date,Time,Status,Current,Press,Mfm2,Refelec,VoltSup,
,,,Instantaneous value,Instantaneous value,Average,Instantaneous value,Instantaneous value,
,,,A,Bar,Ln/min,V,V,
07.12.2022,06:59:36,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:37,OK,0.01,-0.007,0,0,0.13,
07.12.2022,06:59:38,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:39,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:40,OK,0.01,-0.007,0,0,0.13,
07.12.2022,06:59:41,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:42,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:43,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:44,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:45,OK,0.01,-0.007,0,0,0.13,
07.12.2022,06:59:46,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:47,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:48,OK,0.01,-0.007,0,0,0.13,
07.12.2022,06:59:49,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:50,OK,0.01,-0.007,0,0,0.13,
07.12.2022,06:59:51,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:52,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:53,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:54,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:55,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:56,OK,0.01,-0.007,0,0,0.13,
07.12.2022,06:59:57,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:58,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:59,OK,0.01,-0.008,0,0,0.14,
07.12.2022,07:00:00,OK,0.01,-0.008,0,0,0.14,
