Timestamp,Current (A),Gas_Flow_Rate (m3/h),CO2_in (%),CO2_out (%)
0:08:30,4.5,0.5,15.201323,11.738005
0:08:31,4.5,0.5,15.20374,11.741141
0:08:32,4.5,0.5,15.20745,11.742212
0:08:33,4.5,0.5,15.207397,11.743759
0:08:34,4.5,0.5,15.20524,11.744866
0:08:35,4.5,0.5,15.203586,11.744798
0:08:36,4.5,0.5,15.205188,11.745577
0:08:37,4.5,0.5,15.204703,11.743418
0:08:38,4.5,0.5,15.194736,11.740788
0:08:39,4.5,0.5,15.186197,11.739552
0:08:40,4.5,0.5,15.198916,11.739707
0:08:41,4.5,0.5,15.198438,11.74254
0:08:42,4.5,0.5,15.180827,11.744484
0:08:43,4.5,0.5,15.182272,11.742167
0:08:44,4.5,0.5,15.186856,11.741763
0:08:45,4.5,0.5,15.187597,11.744529
0:08:46,4.5,0.5,15.187469,11.745632
0:08:47,4.5,0.5,15.190784,11.742285
0:08:48,4.5,0.5,15.209997,11.73857
0:08:49,4.5,0.5,15.219412,11.735751
0:08:50,4.5,0.5,15.22334,11.734192
0:08:51,4.5,0.5,15.224036,11.733554
0:08:52,4.5,0.5,15.223997,11.733819
0:08:53,4.5,0.5,15.224745,11.735236
0:08:54,4.5,0.5,15.227658,11.735236
0:08:55,4.5,0.5,15.215681,11.73699
0:08:56,4.5,0.5,15.212297,11.743606
0:08:57,4.5,0.5,15.212075,11.746431
0:08:58,4.5,0.5,15.209777,11.750759
0:08:59,4.5,0.5,15.207928,11.751945
0:09:00,4.5,0.5,15.21146,11.751945
0:09:01,4.5,0.5,15.212328,11.752322
0:09:02,4.5,0.5,15.211797,11.752248
0:09:03,4.5,0.5,15.214847,11.752137
0:09:04,4.5,0.5,15.213848,11.750957
0:09:05,4.5,0.5,15.213234,11.749621
0:09:06,4.5,0.5,15.21378,11.748802
0:09:07,4.5,0.5,15.211848,11.748479
0:09:08,4.5,0.5,15.196352,11.748608
0:09:09,4.5,0.5,15.19959,11.749905
0:09:10,4.5,0.5,15.20777,11.749974
0:09:11,4.5,0.5,15.207031,11.746795
0:09:12,4.5,0.5,15.204622,11.733738
0:09:13,4.5,0.5,15.203755,11.728716
0:09:14,4.5,0.5,15.192206,11.724042
0:09:15,4.5,0.5,15.188456,11.723279
0:09:16,4.5,0.5,15.19071,11.724169
0:09:17,4.5,0.5,15.192289,11.726618
0:09:18,4.5,0.5,15.2048,11.727843
0:09:19,4.5,0.5,15.221634,11.72815
0:09:20,4.5,0.5,15.21756,11.728513
0:09:21,4.5,0.5,15.210581,11.726918
0:09:22,4.5,0.5,15.193128,11.72497
0:09:23,4.5,0.5,15.190952,11.720352
0:09:24,4.5,0.5,15.190581,11.71823
0:09:25,4.5,0.5,15.190534,11.718531
0:09:26,4.5,0.5,15.189008,11.71876
0:09:27,4.5,0.5,15.183853,11.71885
0:09:28,4.5,0.5,15.18608,11.719221
0:09:29,4.5,0.5,15.193375,11.721384
0:09:30,4.5,0.5,15.203139,11.721943
0:09:31,4.5,0.5,15.215169,11.729134
